,match_id,batting_team,bowling_team,runs_x,current_score,wickets_left,crr,city,runs_y,balls_left,last_five
2252,27,West Indies,Pakistan,1,4,10,8.0,Abu Dhabi,103,117,35.0
10473,135,South Africa,Sri Lanka,1,156,8,9.18,Johannesburg,198,18,35.0
9250,109,England,Sri Lanka,0,161,5,9.56,Colombo,187,19,36.0
28386,501,Australia,South Africa,6,33,10,11.65,Melbourne,182,103,35.0
35030,570,West Indies,India,0,159,8,8.59,Barbados,169,9,36.0
11460,144,Bangladesh,West Indies,2,82,8,9.84,Lauderhill,184,70,30.0
50606,747,South Africa,Australia,1,109,3,6.11,Centurion,128,13,34.0
49973,742,England,West Indies,4,26,10,12.0,Barbados,165,107,38.0
10724,138,Australia,India,1,53,6,5.78,Melbourne,132,65,38.0
47702,712,Australia,Pakistan,0,40,8,5.22,Dubai,89,74,35.0
37600,599,Pakistan,England,0,90,5,5.87,Dubai,129,28,35.0
25302,473,Australia,Pakistan,0,8,10,6.0,Johannesburg,164,112,38.0
12250,152,New Zealand,India,1,121,6,8.07,Auckland,158,30,39.0
26050,479,India,South Africa,1,3,10,3.6,Durban,153,115,40.0
54970,814,South Africa,West Indies,3,17,10,6.38,Cape Town,165,104,38.0
23466,453,Sri Lanka,New Zealand,0,30,7,5.81,Auckland,115,89,39.0
54291,806,South Africa,India,4,94,8,7.73,Mirpur,172,47,39.0
4768,65,Sri Lanka,India,1,97,7,8.95,Colombo,170,55,39.0
57888,859,South Africa,Australia,0,81,8,8.68,Johannesburg,204,64,48.0
56220,824,New Zealand,Pakistan,1,131,3,6.89,Dubai,144,6,39.0
57689,837,Sri Lanka,Pakistan,6,127,5,7.54,Colombo,172,19,42.0
41953,648,New Zealand,Bangladesh,1,17,10,6.8,Pallekele,191,105,42.0
28343,500,South Africa,Australia,4,117,6,7.31,Centurion,156,24,43.0
21247,431,West Indies,New Zealand,2,69,5,10.1,Auckland,180,79,45.0
44558,670,West Indies,Sri Lanka,6,107,5,6.36,Colombo,137,19,34.0
49855,741,England,West Indies,0,14,9,4.94,Barbados,152,103,33.0
9195,109,England,Sri Lanka,1,65,7,8.48,Colombo,187,74,34.0
25180,472,New Zealand,England,0,7,9,5.25,Durban,164,112,40.0
12944,158,Pakistan,New Zealand,0,31,8,4.89,Abu Dhabi,148,82,44.0
53450,798,South Africa,England,1,161,7,8.78,Chittagong,196,10,44.0
8377,100,Sri Lanka,India,0,120,4,8.47,Colombo,152,35,41.0
35204,572,Pakistan,South Africa,0,21,7,3.15,St Lucia,148,80,42.0
8139,98,Bangladesh,India,0,119,4,6.93,Colombo,139,17,42.0
13194,160,Pakistan,New Zealand,1,38,9,5.43,Dubai,166,78,45.0
55906,822,England,New Zealand,1,79,8,8.94,Manchester,191,67,48.0
13166,160,Pakistan,New Zealand,1,7,10,3.0,Dubai,166,106,48.0
38066,603,Australia,England,0,76,6,7.02,Melbourne,147,55,47.0
51838,771,New Zealand,Bangladesh,1,176,8,10.15,Mirpur,204,16,48.0
6672,85,Sri Lanka,Pakistan,3,32,10,6.62,Abu Dhabi,124,91,50.0
15376,222,Australia,South Africa,3,103,8,9.81,Johannesburg,196,57,53.0
29014,509,India,Bangladesh,4,39,10,8.36,Nottingham,180,92,52.0
46821,705,New Zealand,South Africa,1,9,10,5.4,Durban,86,110,57.0
35737,576,Sri Lanka,England,0,75,6,5.56,St Lucia,128,39,56.0
54483,808,South Africa,Pakistan,4,40,10,10.43,Johannesburg,153,97,56.0
23495,453,Sri Lanka,New Zealand,1,55,5,5.59,Auckland,115,61,58.0
28450,501,Australia,South Africa,4,137,8,10.41,Melbourne,182,41,55.0
38339,607,New Zealand,Sri Lanka,1,91,5,5.81,Lauderhill,120,26,60.0
35438,574,India,Sri Lanka,0,31,9,6.41,St Lucia,163,91,57.0
23998,457,West Indies,South Africa,1,129,10,10.9,Johannesburg,205,49,57.0
36032,578,Australia,England,1,141,5,7.36,Barbados,147,5,55.0
53579,799,Pakistan,Bangladesh,6,169,6,9.14,Mirpur,190,9,60.0
57997,860,South Africa,Australia,1,70,9,10.24,Cape Town,178,79,60.0
33162,551,Australia,Pakistan,1,103,3,6.79,Melbourne,127,29,57.0
25506,474,Sri Lanka,Bangladesh,1,95,6,6.48,Johannesburg,147,32,57.0
47661,712,Australia,Pakistan,0,8,10,8.0,Dubai,89,114,57.0
44171,667,India,South Africa,1,105,6,7.33,Colombo,152,34,55.0
41725,643,West Indies,Bangladesh,0,48,9,7.38,Mirpur,132,81,57.0
50847,749,South Africa,Pakistan,6,129,8,7.66,Dubai,150,19,60.0
27306,489,England,New Zealand,0,65,7,9.51,Auckland,184,79,60.0
56710,828,England,South Africa,1,124,2,6.58,Cape Town,134,7,56.0
57578,836,Pakistan,Sri Lanka,0,158,7,8.46,Colombo,175,8,57.0
25645,475,New Zealand,South Africa,0,131,5,7.86,Durban,153,20,56.0
59572,876,Pakistan,New Zealand,0,2,10,1.0,Auckland,171,108,57.0
26516,482,India,Pakistan,0,113,6,7.06,Johannesburg,157,24,58.0
57698,837,Sri Lanka,Pakistan,0,145,4,7.98,Colombo,172,11,58.0
52750,790,South Africa,New Zealand,0,39,8,6.5,Chittagong,170,84,58.0
5261,70,Pakistan,New Zealand,1,14,10,8.4,Auckland,201,110,59.0
12293,153,New Zealand,India,0,13,10,8.67,Hamilton,212,111,60.0
38583,609,Pakistan,South Africa,1,95,4,5.38,Abu Dhabi,120,14,57.0
46533,699,New Zealand,England,1,151,8,10.07,London,201,30,52.0
46863,705,New Zealand,South Africa,0,36,5,4.32,Durban,86,70,55.0
29144,511,England,Pakistan,3,62,9,11.27,London,185,87,57.0
46827,705,New Zealand,South Africa,0,9,9,3.6,Durban,86,105,56.0
33446,555,Pakistan,Bangladesh,4,28,10,9.33,St Lucia,172,102,51.0
43371,661,West Indies,Sri Lanka,0,16,9,3.31,Pallekele,129,91,48.0
10343,134,South Africa,Sri Lanka,1,137,8,8.56,Centurion,180,24,48.0
58627,868,England,Pakistan,1,62,8,7.15,Dubai,172,68,46.0
30756,530,Pakistan,South Africa,1,48,8,7.58,Nottingham,149,82,49.0
24303,465,India,Pakistan,0,0,9,0.0,Durban,141,115,43.0
34827,569,England,South Africa,1,57,9,10.36,Barbados,168,87,43.0
51942,772,New Zealand,Sri Lanka,0,93,6,6.41,Pallekele,142,33,41.0
53245,796,Bangladesh,India,0,22,7,4.26,Mirpur,138,89,40.0
23025,449,West Indies,New Zealand,0,79,5,5.64,Auckland,126,36,40.0
64181,958,Pakistan,Bangladesh,4,16,8,4.0,Mirpur,129,96,34.0
30021,522,South Africa,West Indies,4,52,10,9.45,London,183,87,49.0
40100,624,Sri Lanka,Australia,1,4,10,3.0,Pallekele,157,112,48.0
6963,87,India,South Africa,1,128,7,10.97,Johannesburg,203,50,49.0
25749,476,India,England,1,112,10,9.08,Durban,218,46,44.0
